Proband;Alter;Alter_Gruppe;Geschlecht;Bildung;PC_Nutzung_pJ;PC_Nutzung_bJ;PC_Nutzung_pS;PC_Nutzung_bS;Kenntnisse_Betriebssystem;Kenntnisse_Internet;Kenntnisse_Programme;Betriebssystem_Win;Betriebssystem_Mac;Betriebssystem_Linux;Betriebssystem_Andere;Schwere;bekannt;UrsacheNennen;Lokation;Stabilitaet;Kontrollierbarkeit;Globalitaet;Aufgabe
62;55;3;1;3;3;1;1;2;2;2;1;1;0;0;0;7;7;Wie eben;1;7;1;7;2
62;55;3;1;3;3;1;1;2;2;2;1;1;0;0;0;7;7;Kein wissen.;1;7;7;7;4
62;55;3;1;3;3;1;1;2;2;2;1;1;0;0;0;7;7;keine Anung;1;7;7;7;5
62;55;3;1;3;3;1;1;2;2;2;1;1;0;0;0;7;7;wie eben;1;7;3;7;6
63;47;2;2;3;10;111;1;111;1;1;1;0;1;0;0;7;4;unübersichtlich;2;7;1;7;1
63;47;2;2;3;10;111;1;111;1;1;1;0;1;0;0;7;4;schlecht beschrieben;1;7;1;7;2
63;47;2;2;3;10;111;1;111;1;1;1;0;1;0;0;5;7;war füt mich nicht ersichtlich;4;4;4;7;6
64;45;2;1;3;3;0;2;0;1;3;1;1;0;0;0;6;7;0;2;6;2;4;2
64;45;2;1;3;3;0;2;0;1;3;1;1;0;0;0;6;7;0;1;6;2;4;4
64;45;2;1;3;3;0;2;0;1;3;1;1;0;0;0;1;4;0;2;6;2;4;5
64;45;2;1;3;3;0;2;0;1;3;1;1;0;0;0;6;4;0;1;5;2;5;6
65;45;2;2;6;3;1;2;4;1;3;3;1;0;0;0;5;7;ich habe den Stadtteil nicht gefunden;5;4;2;3;2
65;45;2;2;6;3;1;2;4;1;3;3;1;0;0;0;7;6;ich habe die Symbole nicht gefunden;4;5;2;6;4
65;45;2;2;6;3;1;2;4;1;3;3;1;0;0;0;7;7;die richtige Symbole nicht gefunden;4;6;1;5;6
66;26;2;2;5;12;6;2;9;4;5;3;1;0;0;0;4;3;Die Seite ist sehr unübersichtlich;7;5;5;3;2
66;26;2;2;5;12;6;2;9;4;5;3;1;0;0;0;7;7;Die App zeigte das nicht  übersichtlich genug an;4;4;4;4;6
67;22;1;1;5;8;4;12;2;7;7;3;1;0;0;0;7;7;Unübersichtlichkeit auf der kompletten Seite, wenn man die Suchanfrage nicht benutzen darf.;6;7;2;1;2
67;22;1;1;5;8;4;12;2;7;7;3;1;0;0;0;6;1;keinen button für eine funktion gefunden, die das ausführen könnte. weiß nicht, ob es an mir lag oder nicht.;4;6;2;1;6
68;58;3;1;6;0;6;0;7;2;4;1;1;0;0;0;2;6;bauverordnung nicht gefunden;6;6;3;6;2
